% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.151146793e+02 +7.151146793e+02 +1.715114679e+03 +1.715114679e+03 +1.2515e-01 -3.2630e-01 -5.2639e-01 +1.4462e-01 -1.1038e-01 -1.1130e-01 -1.7506e-01 +3.6774e-01 -9.2890e-01 -5.4890e-01 -8.1442e-02 +5.6451e-01 +2.0700e-01 +1.6233e-01 +3.3295e-01 -2.8915e-01 -5.3938e-01 +4.2445e-01 +1.1139e-01 -1.9881e-01
7 +5.997900193e+02 +5.997900193e+02 +1.599790019e+03 +1.599790019e+03 +2.4319e-01 -1.9986e-01 +5.9500e-01 +5.7548e-01 +4.3821e-02 -2.7879e-01 +5.1902e-01 +1.9640e-01 -1.8682e-01 -1.4634e-01 +3.1800e-02 -1.0541e-01 +9.9199e-02 +2.0440e-01 +4.1801e-01 +2.8449e-01 -4.0572e-02 +7.3040e-01 -9.0605e-03 -3.8797e-01
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.536537139e+02 +7.536537139e+02 +8.236837139e+02 +8.236837139e+02 -5.4890e-01 +5.8051e-01 +4.7760e-01 +1.4586e-02 +4.9291e-01 -7.5819e-02 +4.6930e-01 -3.8970e-02 -2.4845e-02 +1.9081e-01 +1.9017e-01 +1.6544e-01 +3.7433e-01 +1.3889e-01 -3.8663e-01 -2.7018e-01 +3.1245e-01 -6.4186e-01 +3.0767e-01 -4.4430e-01
19 +6.052905625e+02 +6.052905625e+02 +6.753205625e+02 +6.753205625e+02 +1.7015e-01 +7.1207e-01 -1.7607e-01 +3.7710e-01 -3.8981e-01 +3.8362e-01 -1.8418e-02 +2.7575e-01 -6.0058e-01 +8.4846e-01 -4.9639e-01 -1.4583e-01 +3.3661e-01 +3.9633e-01 +2.2061e-01 +3.8256e-02 -2.2898e-01 +3.6610e-01 -5.7781e-01 -7.9400e-01
% function evaluation | noise-free fitness - Fopt (-4.822000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.003988454e+03 +1.003988454e+03 +9.557684541e+02 +9.557684541e+02 -1.9689e-01 +6.2691e-02 -9.4827e-02 +2.4044e-01 +3.1836e-01 +1.1463e-01 +1.1016e-01 -7.0035e-01 -1.6188e-01 +6.9623e-01 -7.9891e-02 +2.0480e-01 -3.8468e-01 -2.7012e-01 +4.1593e-01 +9.3654e-01 +5.0894e-02 +2.3949e-02 -3.2414e-01 -6.6360e-01
2 +9.510490851e+02 +9.510490851e+02 +9.028290851e+02 +9.028290851e+02 -3.1356e-01 +2.3735e-01 +7.2385e-01 -6.9291e-02 +6.8351e-01 -2.1461e-01 +6.8107e-01 -8.2993e-01 +3.0183e-01 +2.0884e-01 -2.7890e-01 +1.7699e-01 +3.0280e-01 +1.4693e-01 -2.4019e-02 -7.1072e-01 -4.1282e-01 +5.0762e-01 +7.5046e-02 -8.9124e-01
% function evaluation | noise-free fitness - Fopt (2.547000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.068577293e+03 +1.068577293e+03 +1.094047293e+03 +1.094047293e+03 +2.7193e-01 -2.3964e-02 -4.6427e-01 -5.4148e-01 -3.8759e-01 -1.4770e-01 -2.0452e-01 -7.1013e-02 -1.1573e-01 -1.2493e-01 -8.7115e-01 +4.7610e-02 -4.1474e-01 +7.3265e-02 -1.1767e-02 -1.6770e-01 -3.3639e-01 +5.1784e-01 +2.6127e-02 -6.4104e-01
28 +9.833919766e+02 +9.833919766e+02 +1.008861977e+03 +1.008861977e+03 -6.3921e-01 +1.5041e-01 -7.7562e-02 -2.0967e-01 +1.7005e-01 -3.8730e-01 -6.1112e-01 +3.8750e-01 +1.4374e-01 +9.0926e-01 -6.1114e-01 -2.0494e-01 +4.6958e-01 +5.9718e-01 -4.8521e-01 +4.4103e-01 -1.0930e-01 +2.0386e-01 +1.3512e-02 -1.9586e-01
% function evaluation | noise-free fitness - Fopt (-1.008100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
