% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.513080849e+07 +1.513080849e+07 +1.513059861e+07 +1.513059861e+07 +1.4229e-01 -7.6864e-02 -9.2069e-01 +5.2650e-01 -5.0201e-01 +2.2299e-01 +1.2817e-01 +8.2310e-01 -9.1738e-02 -2.6077e-01 -1.3102e-01 +4.9595e-01 -2.3346e-01 +4.9073e-01 -6.2298e-01 -5.5363e-02 +7.9046e-01 -3.9295e-01 +1.9191e-01 -6.7851e-01
16 +9.832818568e+06 +9.832818568e+06 +9.832608688e+06 +9.832608688e+06 +2.1836e-01 -3.7772e-01 +2.3144e-01 +3.3487e-01 -9.1778e-03 +6.6411e-01 -3.4318e-01 -3.8762e-02 -6.4880e-01 +6.0156e-02 +2.7597e-01 -1.1911e-01 +1.8909e-01 +3.9301e-01 -2.2456e-01 -2.6524e-01 -5.8803e-01 +5.6881e-02 -8.2307e-02 +1.8379e-01
% function evaluation | noise-free fitness - Fopt (-9.209000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.744114682e+06 +9.744114682e+06 +9.744022592e+06 +9.744022592e+06 +2.8733e-01 -5.5992e-02 +6.7746e-01 +8.6624e-01 +2.0709e-01 +2.2867e-02 +3.0581e-01 +1.9571e-01 +1.6836e-01 +6.7481e-01 -1.5801e-01 +2.2802e-01 -6.3854e-01 +1.5622e-01 -6.8885e-02 -3.0142e-01 +1.9756e-02 -1.7451e-01 -3.0198e-01 -1.9135e-02
12 +5.785475941e+06 +5.785475941e+06 +5.785383851e+06 +5.785383851e+06 +2.4275e-02 -3.3622e-01 +2.6892e-01 +1.2940e-01 -4.6742e-01 +9.9701e-02 +5.3112e-01 -8.4946e-01 +2.7350e-01 -1.1374e-01 +2.4326e-01 -1.3208e-02 -1.5442e-01 -1.5801e-01 +5.6603e-01 +1.6850e-01 +3.7287e-01 +4.6527e-01 +7.3092e-01 -6.2496e-01
% function evaluation | noise-free fitness - Fopt (-8.789000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.974893324e+06 +9.974893324e+06 +9.974805434e+06 +9.974805434e+06 +5.3728e-01 +2.1214e-01 -4.9353e-02 -3.1446e-01 +5.4175e-01 -1.0455e-02 +5.6592e-01 -2.0597e-01 +3.5453e-01 +1.1177e-01 -6.6334e-01 -7.2253e-02 -1.7787e-01 +8.3142e-01 -7.8239e-02 -5.9078e-02 +8.1645e-01 -4.8276e-01 +1.7270e-01 +6.4023e-01
% function evaluation | noise-free fitness - Fopt (3.201900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.831697792e+06 +7.831697792e+06 +7.832017982e+06 +7.832017982e+06 -2.8497e-01 -3.8987e-01 -8.9327e-02 +6.5616e-01 -3.3479e-01 -7.1563e-01 -4.6825e-01 +2.1259e-01 +1.1532e-01 +1.3394e-01 -8.8288e-01 +4.9990e-01 -2.0614e-01 -3.7025e-01 -5.2474e-01 -2.4779e-02 +4.2867e-02 -2.9474e-01 -1.5842e-02 -1.3856e-01
5 +5.922300611e+06 +5.922300611e+06 +5.922620801e+06 +5.922620801e+06 +6.6493e-02 -2.8264e-01 -4.6998e-02 +2.3046e-01 -2.9469e-01 +8.8969e-02 +7.3636e-02 -8.5590e-02 +2.8317e-01 -2.6373e-01 +4.1595e-01 -5.2693e-02 +7.8947e-02 +1.0689e-01 +1.8333e-01 -3.8918e-02 -1.2922e-01 -7.4174e-01 +5.8370e-01 +2.3913e-01
% function evaluation | noise-free fitness - Fopt (-1.042400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.910941254e+07 +1.910941254e+07 +1.910930830e+07 +1.910930830e+07 -2.6279e-01 +1.3098e-01 -5.6119e-01 +1.7324e-01 -6.0722e-01 -3.2187e-01 +3.7413e-01 +4.5556e-01 +2.4295e-01 +1.8710e-02 -1.9504e-01 -5.3439e-01 +6.7659e-02 +1.3418e-01 -2.6241e-02 +4.8343e-01 +3.7352e-01 +2.0852e-01 +4.2703e-01 -9.8083e-02
6 +1.441396866e+07 +1.441396866e+07 +1.441386442e+07 +1.441386442e+07 +9.7469e-01 +5.5942e-02 +6.7958e-02 +2.8372e-01 -4.9770e-01 +2.4372e-01 -6.6589e-01 +3.9748e-01 -7.3082e-01 -5.4650e-01 +3.3105e-01 -3.7636e-01 +2.6141e-01 -2.3839e-01 -1.1155e-01 -4.0355e-02 -1.8350e-01 +1.7139e-01 -3.4261e-01 -8.2866e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.309770587e+06 +4.309770587e+06 +4.308770587e+06 +4.308770587e+06 +7.3697e-01 -1.0853e-01 +5.7726e-01 +1.7550e-02 +4.3850e-01 +2.1698e-01 -4.8337e-02 -8.0118e-01 +6.0418e-01 -1.3001e-01 +3.9933e-02 +7.7464e-01 -1.9612e-01 +1.7858e-01 +1.3442e-01 -6.8214e-01 -2.9720e-01 +2.0376e-01 +3.8664e-01 +2.0455e-01
