% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.085385542e+03 +1.085385542e+03 +6.232955416e+02 +6.232955416e+02 -5.6641e-01 -2.9725e-01 -2.1889e-01 +5.6948e-01 +3.5890e-01 +7.0613e-01 +4.3150e-01 -2.1714e-01 +1.6208e-02 -4.3404e-01 -2.9702e-01 +5.6643e-01 +5.4297e-01 +3.6390e-01 +5.8440e-01 +2.5899e-01 -2.9276e-02 -3.8178e-01 -3.9828e-01 -2.6379e-01
3 +8.946364455e+02 +8.946364455e+02 +4.325464455e+02 +4.325464455e+02 -2.0962e-01 +2.3671e-01 -1.9670e-01 -5.7545e-01 +1.2802e-01 -4.5937e-01 -2.9050e-01 +5.1805e-01 -3.8002e-02 -1.9826e-02 -6.6457e-01 +3.9945e-01 -6.7480e-02 +1.9688e-03 +4.7740e-01 -9.3035e-01 +6.1570e-01 -1.2181e-01 -4.3753e-02 -2.0212e-01
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.763452444e+02 +6.763452444e+02 +7.540052444e+02 +7.540052444e+02 -4.5645e-02 -1.6858e-03 -5.1169e-01 +8.1701e-02 +2.8912e-01 -7.4919e-02 +9.0104e-01 -6.2037e-01 -7.6258e-01 -9.5027e-01 +4.3832e-01 +8.6849e-03 +2.3196e-02 -4.4394e-01 -3.1877e-01 +1.5197e-01 +3.1513e-01 -6.8762e-01 -2.1972e-02 -3.5231e-01
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.590682271e+02 +8.590682271e+02 +9.747482271e+02 +9.747482271e+02 +2.6111e-02 -6.1747e-01 +5.1222e-02 +2.6531e-01 +7.4714e-01 -4.1834e-01 +1.0868e-01 +2.7532e-01 +1.7791e-01 -7.2350e-02 -5.1238e-01 -3.8130e-01 +6.4843e-02 +3.7170e-01 +8.3162e-02 -3.3276e-01 +4.7450e-01 -3.6985e-01 -1.5598e-01 +3.5982e-01
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.436413722e+02 +9.436413722e+02 +9.399313722e+02 +9.399313722e+02 -6.1565e-02 -1.1169e-01 -2.9699e-02 -3.3706e-02 -2.8639e-01 +9.2239e-02 -2.5871e-03 -1.8795e-01 +1.8968e-01 -5.9143e-01 +2.4769e-01 -2.7464e-01 -3.1201e-02 -8.4283e-01 -5.1079e-01 +4.2869e-01 -5.8570e-01 +7.8651e-01 +4.9989e-02 -6.4570e-01
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.639554302e+02 +7.639554302e+02 +8.961354302e+02 +8.961354302e+02 -1.2929e-01 -3.2641e-01 +2.1730e-01 +4.1985e-01 -8.0875e-02 -2.5330e-01 +7.2892e-02 -7.7633e-01 -3.2831e-01 +4.9945e-01 +5.7767e-02 -8.8304e-01 -4.2965e-01 -2.6603e-01 +3.3652e-01 +5.8884e-01 -6.8150e-01 -1.9205e-02 +2.1797e-01 +2.1358e-01
6 +5.789991811e+02 +5.789991811e+02 +7.111791811e+02 +7.111791811e+02 -5.4741e-01 +3.8287e-01 +2.3161e-01 +2.7496e-01 +4.5439e-01 -4.2922e-01 -2.8241e-01 -1.0430e-01 +3.3985e-02 -4.3856e-01 +6.0606e-01 +7.4295e-02 +4.1006e-01 -2.6305e-01 -7.8271e-01 -4.3957e-01 +2.9666e-01 +1.9501e-01 -5.9067e-01 -1.6903e-01
% function evaluation | noise-free fitness - Fopt (-4.174000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.007392711e+03 +1.007392711e+03 +9.656527111e+02 +9.656527111e+02 -2.8726e-01 -3.4756e-01 +5.6185e-01 +6.2836e-02 +5.8063e-01 -8.2772e-01 -4.5152e-01 +3.6683e-01 -6.3831e-02 -6.2415e-02 +7.2289e-01 +6.5752e-01 +6.6767e-01 -1.5862e-01 +2.0768e-01 -3.6467e-01 +4.9203e-01 -5.7545e-03 +1.4543e-01 +2.6524e-01
2 +9.513358939e+02 +9.513358939e+02 +9.095958939e+02 +9.095958939e+02 +9.6051e-01 -1.0518e-01 -3.1996e-01 -4.3431e-01 +8.2151e-01 -1.9836e-01 +4.3861e-02 +4.0228e-01 +4.6435e-02 -2.2098e-02 +3.8501e-01 +4.1893e-01 -5.5248e-01 +1.8987e-02 +1.3072e-02 +1.5104e-02 -6.5126e-02 -6.9936e-01 +3.5525e-01 -1.9125e-01
% function evaluation | noise-free fitness - Fopt (-4.948600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.300276242e+02 +7.300276242e+02 +2.351676242e+02 +2.351676242e+02 +9.4205e-02 -4.3878e-01 +1.0250e-01 -5.5191e-01 -5.8254e-02 +3.9084e-01 +1.2316e-02 +4.4243e-02 -7.6614e-01 -2.2755e-02 -3.3968e-01 -3.8937e-01 -5.2144e-02 +2.1925e-01 -5.0731e-01 -3.8902e-01 -7.9192e-02 -2.1564e-01 -4.6998e-01 +1.5116e-01
63 +6.217018096e+02 +6.217018096e+02 +1.268418096e+02 +1.268418096e+02 +6.5322e-02 -2.8915e-01 -3.4124e-01 +4.0161e-01 +2.1735e-01 -1.9320e-02 +2.2479e-01 -4.6052e-01 +2.6264e-01 +5.1704e-01 +1.7469e-01 -1.1807e-01 +8.1164e-01 -3.4031e-01 -7.1722e-01 -6.3113e-01 +1.0201e-01 -2.3514e-01 +8.2659e-01 -1.2323e-01
% function evaluation | noise-free fitness - Fopt (3.484000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.800223551e+02 +9.800223551e+02 +1.328422355e+03 +1.328422355e+03 -2.9266e-01 -8.0447e-01 +1.6213e-01 +2.1245e-02 -7.3018e-01 +2.1182e-01 +4.3710e-02 -7.7475e-01 +2.5049e-01 +5.6179e-01 -4.6826e-01 +1.6636e-01 +3.2503e-01 -4.4964e-01 -3.2784e-01 +6.8528e-01 +3.6955e-01 -3.7142e-02 +3.2502e-02 +5.0865e-01
% function evaluation | noise-free fitness - Fopt (3.770000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.085486888e+02 +8.085486888e+02 +8.123186888e+02 +8.123186888e+02 +1.7586e-01 +6.5174e-02 +2.6267e-01 +2.1198e-01 +7.3725e-01 +2.1170e-01 -2.1779e-01 +2.3941e-01 -4.6874e-01 +4.4010e-01 +5.0709e-01 -3.0052e-01 +2.5423e-01 +1.5141e-01 +2.0154e-01 +7.8160e-02 -3.0744e-02 -8.5916e-02 +2.6459e-01 -1.3188e-01
16 +6.097340906e+02 +6.097340906e+02 +6.135040906e+02 +6.135040906e+02 +3.8411e-01 +3.5275e-01 +1.0979e-01 +1.2151e-01 -8.4293e-01 -6.9519e-02 -5.3140e-02 -9.0502e-03 -5.5355e-01 -8.0035e-01 +1.1357e-01 +7.0884e-01 +5.5991e-01 -3.1079e-01 -5.2718e-01 +6.8771e-01 -3.6118e-01 -1.7441e-02 +9.6691e-01 +2.6720e-01
% function evaluation | noise-free fitness - Fopt (3.770000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.590267710e+02 +6.590267710e+02 +6.967267710e+02 +6.967267710e+02 +2.6772e-01 -4.4201e-01 +2.5150e-01 -9.6451e-02 -6.9863e-02 -1.9540e-01 -4.3232e-01 -7.4627e-01 -6.4714e-01 +1.1295e-01 +2.4720e-01 -1.8072e-01 -2.8301e-02 +8.6091e-01 -3.4357e-01 -3.8068e-01 -1.6151e-01 -2.1004e-01 -1.4440e-02 -3.8595e-02
