% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.925247219e+01 +2.925247219e+01 +1.231247219e+01 +1.231247219e+01 +3.0779e-01 +3.0115e-02 +1.7390e-01 -2.1168e-02 +4.6233e-01 -3.8309e-01 +7.4175e-01 +1.8479e-01 -3.1238e-02 -8.5303e-02 -3.3003e-01 -4.1826e-01 -9.0924e-01 +9.1333e-02 +7.2163e-01 -9.9399e-02 +5.7377e-01 +4.0724e-01 +2.8688e-01 +5.2536e-01
97 +2.491052408e+01 +2.491052408e+01 +7.970524079e+00 +7.970524079e+00 -1.7962e-01 -1.2641e-01 -2.0055e-01 -4.2707e-01 +6.0496e-01 -3.0581e-01 -4.7520e-02 +2.6972e-01 -8.3825e-01 -3.8705e-01 +2.4383e-01 +6.3911e-01 -8.2563e-01 -2.3397e-01 +5.9972e-01 +4.0340e-01 -6.6105e-02 +1.2524e-01 +2.6486e-01 -5.4423e-01
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.141319976e+01 +1.141319976e+01 +3.022319976e+01 +3.022319976e+01 -2.9192e-01 -2.4075e-01 +6.2060e-01 +7.7404e-01 +7.8250e-02 -1.9798e-01 -4.3806e-01 +6.3262e-01 +6.8310e-01 +3.2798e-01 +8.3419e-02 +3.7875e-01 +6.0926e-02 -9.1595e-01 +4.1626e-01 +1.1449e-01 +3.8023e-01 +4.5903e-01 -3.9906e-01 -5.1167e-02
41 +9.971804565e+00 +9.971804565e+00 +2.878180456e+01 +2.878180456e+01 -1.3525e-01 +2.8132e-01 -1.3854e-01 +3.1926e-01 +9.8925e-01 +1.1711e-01 +4.3794e-01 +2.0788e-01 -2.1952e-01 -1.8500e-01 -4.8881e-01 +2.0696e-03 +1.9424e-01 -2.0785e-01 -2.7986e-01 +2.8161e-01 -3.3977e-01 +1.4100e-01 -4.8572e-02 +1.2327e-02
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.098906998e+01 +4.098906998e+01 +3.141390700e+02 +3.141390700e+02 +1.0358e-01 +9.2182e-01 +1.6603e-01 +1.3140e-01 +1.2502e-01 -5.6874e-01 -4.2985e-01 -1.0415e-01 -2.0117e-01 +2.4759e-01 -1.5599e-01 +5.6795e-02 +3.0161e-01 -1.1094e-01 -2.2536e-01 +1.0401e-01 +7.1226e-01 +3.4518e-01 -8.6736e-01 +8.4668e-01
8 +3.381606021e+01 +3.381606021e+01 +3.069660602e+02 +3.069660602e+02 -1.5151e-01 +3.7682e-01 +1.7965e-01 -1.5564e-01 -3.4921e-01 +2.2903e-01 +3.1988e-01 -4.6140e-01 +8.6468e-02 +1.0919e-01 -6.4200e-01 +3.3632e-01 +4.5352e-01 -2.4622e-02 +7.5046e-01 -3.3071e-01 +3.2225e-01 -2.1314e-02 +3.0667e-01 -4.4321e-01
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.248115154e+01 +1.248115154e+01 +4.966115154e+01 +4.966115154e+01 -2.6405e-01 +3.5458e-01 -2.9010e-01 -5.2823e-01 -2.3361e-01 +5.4405e-01 +8.9699e-01 -2.7754e-01 +1.0365e-01 +3.1939e-01 +7.7248e-02 -6.4445e-01 -5.2637e-01 -6.0283e-01 -8.7327e-02 -3.6677e-01 +6.6218e-01 +3.5363e-01 -4.4587e-01 +9.5023e-01
4 +9.494967470e+00 +9.494967470e+00 +4.667496747e+01 +4.667496747e+01 -3.5761e-01 -6.0992e-02 +6.5274e-01 +7.5594e-02 -6.0506e-02 -2.0649e-01 -7.5901e-01 -9.2537e-01 -7.3987e-01 -7.6351e-02 -1.9956e-01 +6.8068e-01 +7.9909e-01 +2.8633e-01 +3.7816e-02 +8.3875e-01 +3.6737e-01 -2.8790e-01 +8.6075e-02 +1.8524e-01
% function evaluation | noise-free fitness - Fopt (-1.479000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.426325985e+01 +1.426325985e+01 -1.336367401e+02 -1.336367401e+02 -5.1279e-01 -6.1006e-01 +3.1640e-01 +5.5933e-01 -5.9326e-02 -4.1627e-01 -7.5584e-02 +3.7304e-01 -7.6687e-01 +3.2402e-02 -4.0421e-01 -3.5957e-01 -5.7972e-01 -6.0657e-01 +7.9984e-01 -4.2863e-01 +6.7170e-01 -3.2003e-01 -5.3723e-01 -2.2857e-01
% function evaluation | noise-free fitness - Fopt (1.162600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.365648796e+01 +1.365648796e+01 +1.299164880e+02 +1.299164880e+02 -1.5534e-02 +4.8066e-01 -7.4681e-01 +2.2451e-01 -3.2522e-01 -2.7932e-01 -4.8178e-01 +6.1910e-02 -2.2121e-01 -5.8180e-01 -2.4162e-01 +7.2002e-03 -4.2338e-02 +3.3732e-01 -3.9387e-01 -1.7316e-01 +1.4802e-01 -2.3060e-01 -2.5553e-01 +2.3361e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.242544878e+01 +1.242544878e+01 -9.875745512e+02 -9.875745512e+02 -5.6322e-01 +1.4957e-01 -1.4423e-01 +4.9207e-01 +4.0110e-01 +5.8413e-01 -7.7839e-02 +7.6825e-01 +1.1610e-01 -7.2011e-01 +1.3160e-01 +6.2103e-01 -7.3841e-01 +5.8765e-01 -2.6271e-01 -8.7548e-01 -1.5288e-01 +6.1756e-01 -4.3532e-01 -4.3043e-01
