% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.032742922e+03 +2.032742922e+03 +2.125682922e+03 +2.125682922e+03 +2.1345e-01 -5.4917e-01 +7.7896e-01 +1.6576e-01 +2.9847e-01 -6.4871e-01 -1.0178e-01 +6.1064e-01 +3.8897e-01 +5.2999e-01 +1.3799e-01 +3.3355e-01 -6.3905e-01 -7.2185e-01 -2.5560e-01 -1.2460e-01 -7.2932e-01 +4.1340e-02 -1.7181e-01 -5.0604e-01
3 +1.457122153e+03 +1.457122153e+03 +1.550062153e+03 +1.550062153e+03 +2.2552e-01 +2.9575e-01 -2.9872e-01 +4.5460e-01 +5.0915e-01 +6.6173e-01 +1.0480e-01 +3.6185e-01 +3.9256e-01 +1.0400e-01 +3.1070e-01 -3.1424e-01 +1.4815e-01 +5.2461e-01 -3.3219e-01 +3.4287e-01 +3.2212e-01 -1.6103e-01 -1.9206e-01 +3.5352e-01
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.286011934e+03 +2.286011934e+03 +2.321361934e+03 +2.321361934e+03 +3.0249e-01 +6.2283e-02 +2.4889e-01 +5.4778e-01 -1.6271e-01 +7.2048e-01 +5.0665e-01 -1.4823e-01 -6.9342e-01 -2.9040e-01 -8.1014e-01 -1.1988e-01 -4.7428e-01 +1.2640e-01 -4.4163e-01 +6.6102e-01 +2.7720e-01 -1.7370e-01 +6.5754e-01 +4.3340e-02
% function evaluation | noise-free fitness - Fopt (3.820000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.961429868e+02 +6.961429868e+02 +6.999629868e+02 +6.999629868e+02 -2.7416e-01 +2.3994e-02 +6.9800e-01 -4.2944e-01 -2.7835e-01 +3.1436e-01 -5.3077e-02 +3.1927e-01 +1.7183e-01 +1.5865e-01 +2.3584e-01 -1.6647e-01 -3.3428e-02 -1.7131e-01 -5.1221e-01 +1.1111e-01 -3.7310e-01 -3.2021e-01 +8.3950e-01 -1.6916e-01
62 +6.010343873e+02 +6.010343873e+02 +6.048543873e+02 +6.048543873e+02 +4.7956e-01 -3.5059e-01 -1.4038e-01 -1.5263e-01 +1.9731e-02 +1.5272e-01 +2.7371e-01 +7.3599e-01 -7.6529e-02 +7.6029e-01 +3.0024e-01 +6.2928e-02 +2.7318e-01 -5.7341e-01 +2.0185e-01 +9.9706e-02 -3.8663e-01 +4.0578e-01 -5.9848e-02 +2.1098e-01
% function evaluation | noise-free fitness - Fopt (2.175000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.063205489e+03 +1.063205489e+03 +1.084955489e+03 +1.084955489e+03 -2.0099e-01 -1.7114e-01 -7.6494e-01 -1.6248e-01 +1.7713e-01 -3.3850e-01 -1.0807e-01 -2.4858e-01 -6.7578e-01 +2.5900e-01 -1.9795e-01 -2.9276e-01 +6.7753e-02 +1.4469e-01 +2.0242e-01 +2.8460e-01 +2.3958e-01 -3.4511e-02 +4.1703e-03 -1.4412e-01
11 +9.560436358e+02 +9.560436358e+02 +9.777936358e+02 +9.777936358e+02 -6.4640e-01 +2.4058e-01 +6.2703e-02 +6.3862e-01 +5.9652e-01 -1.0813e-01 +2.8012e-02 +3.9046e-02 +6.6617e-01 -4.2142e-01 +3.5684e-01 +4.3768e-02 +5.2329e-01 -6.6433e-01 +6.7583e-01 -4.7663e-01 -2.3188e-01 -1.5513e-01 -8.2370e-01 -5.8486e-01
