% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.252907940e+01 +9.252907940e+01 +1.638790794e+02 +1.638790794e+02 -3.6987e-01 +4.2334e-02 -1.8841e-01 -3.7505e-02 -3.2740e-01 -2.4037e-01 -3.6324e-01 +7.4529e-01 -7.2843e-01 -2.9960e-01 +7.5652e-01 -2.8158e-01 +8.2848e-03 +3.0010e-01 -5.2742e-02 -7.1359e-03 -5.5799e-02 +2.9697e-01 -2.0954e-01 +7.4076e-01
3 +6.179008236e+01 +6.179008236e+01 +1.331400824e+02 +1.331400824e+02 -3.5234e-01 -5.3401e-01 +3.6869e-01 +3.8080e-01 +5.8838e-01 +2.4866e-01 +2.3532e-01 +1.3268e-01 -6.7447e-01 -3.3401e-01 -3.1710e-01 +9.0155e-02 +4.3781e-01 -4.1289e-01 +8.2012e-01 +7.7051e-01 +4.9493e-01 -4.2526e-01 +4.6770e-01 -3.9819e-01
19 +3.327788772e+01 +3.327788772e+01 +1.046278877e+02 +1.046278877e+02 +5.5680e-01 -7.1782e-01 +1.6784e-01 -2.1889e-01 -5.8634e-01 +1.3084e-01 -2.0104e-01 +2.5942e-01 -6.8837e-01 -4.1337e-01 -7.9778e-01 +1.2249e-01 +6.1262e-01 -3.3171e-01 -2.3048e-01 -9.0259e-01 -8.3084e-01 +7.7913e-01 +2.8613e-01 +4.4709e-02
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.232876940e+01 +8.232876940e+01 -2.728912306e+02 -2.728912306e+02 -3.9757e-01 +1.2066e-01 +5.6192e-01 +4.0591e-01 +1.2282e-02 +1.4603e-01 +6.6860e-01 +1.6310e-02 -6.0929e-01 +3.7259e-01 +8.0954e-01 +5.8341e-02 +6.0536e-01 +2.3259e-01 -3.8861e-01 -2.6787e-01 +3.3716e-02 +4.7368e-01 -5.4761e-02 +1.4369e-01
6 +6.058205709e+01 +6.058205709e+01 -2.946379429e+02 -2.946379429e+02 +2.1245e-01 +9.9178e-02 -2.4095e-01 +7.4083e-01 -7.9157e-01 +5.1978e-01 +1.0910e-01 -7.6803e-02 -1.4971e-02 +6.3167e-01 +6.1997e-01 +1.1688e-02 -6.8646e-01 -9.5398e-02 +8.5801e-01 -2.8167e-01 +2.5777e-01 -2.4025e-01 +2.3740e-01 +1.5320e-01
% function evaluation | noise-free fitness - Fopt (9.917000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.193281856e+01 +6.193281856e+01 +1.611028186e+02 +1.611028186e+02 +1.1374e-01 +5.8911e-01 -3.9258e-01 -1.0537e-02 +4.6646e-01 +1.4148e-01 -1.2220e-02 +1.7903e-01 +1.7502e-01 +5.1659e-02 -3.1619e-01 +5.5415e-02 +5.0935e-02 -6.8254e-01 -2.0488e-01 -2.1315e-01 +3.4419e-01 -4.7376e-01 -1.3936e-01 -9.0866e-01
% function evaluation | noise-free fitness - Fopt (-5.179100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.845411654e+01 +5.845411654e+01 -4.594558835e+02 -4.594558835e+02 +1.9846e-01 +1.7102e-01 +1.6517e-02 -9.1999e-02 +5.0565e-02 -6.7100e-01 -3.0412e-01 -6.3795e-01 +7.9934e-02 +3.9414e-01 +4.7704e-01 -2.5043e-01 +4.6471e-01 +2.3114e-01 +3.8382e-01 -6.5493e-01 -2.8030e-01 -2.4005e-01 -1.7447e-01 -7.6978e-01
